2013-08-27 15:29:56,662 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-08-27 15:29:56,849 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 185ms)
2013-08-27 15:29:56,873 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-08-27 15:29:56,881 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
2013-08-27 15:29:56,882 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-08-27 15:29:56,887 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 4ms)
2013-08-27 15:29:56,887 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-08-27 15:29:56,894 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 6ms)
2013-08-27 15:29:56,896 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-08-27 15:29:56,903 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 7ms)
2013-08-27 15:29:56,904 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-08-27 15:29:56,911 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,960 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,964 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,964 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:29:56,964 [26] INFO  Umbraco.Core.ApplicationContext - [Thread 23] CurrentVersion different from configStatus: '6.1.4',''
